url,name,desc,rating,,,
https://github.com/tmc/langchaingo,langchaingo,langchaingo - LangChainGo is a framework for developing applications powered by language models.,3.7k,,,
https://github.com/mudler/LocalAI,LocalAI,"LocalAI - Open Source OpenAI alternative, self-host AI models.",21.5k,,,
https://github.com/jmorganca/ollama,Ollama,Ollama - Run large language models locally.,75.8k,,,
https://github.com/mewkiz/flac,flac,flac - Native Go FLAC encoder/decoder with support for FLAC streams.,298,,,
https://github.com/Comcast/gaad,gaad,gaad - Native Go AAC bitstream parser.,121,,,
https://github.com/DylanMeeus/GoAudio,GoAudio,GoAudio - Native Go Audio Processing Library.,338,,,
https://github.com/dh1tw/gosamplerate,gosamplerate,gosamplerate - libsamplerate bindings for go.,32,,,
https://github.com/bogem/id3v2,id3v2,id3v2 - ID3 decoding and encoding library for Go.,326,,,
https://github.com/gen2brain/malgo,malgo,malgo - Mini audio library.,272,,,
https://github.com/tosone/minimp3,minimp3,minimp3 - Lightweight MP3 decoder library.,121,,,
https://github.com/hajimehoshi/oto,Oto,Oto - A low-level library to play sound on multiple platforms.,1.5k,,,
https://github.com/gordonklaus/portaudio,PortAudio,PortAudio - Go bindings for the PortAudio audio I/O library.,678,,,
https://github.com/volatiletech/authboss,authboss,"authboss - Modular authentication system for the web. It tries to remove as much boilerplate and ""hard things"" as possible so that each time you start a new web project in Go, you can plug it in, configure it, and start building your app without having to build an authentication system each time.",3.7k,,,
https://github.com/essentialkaos/branca,branca,branca - branca token specification implementation for Golang 1.15+.,80,,,
https://github.com/tuupola/branca-spec,specification implementation,branca - branca token specification implementation for Golang 1.15+.,219,,,
https://github.com/hsluoyz/casbin,casbin,"casbin - Authorization library that supports access control models like ACL, RBAC, and ABAC.",17.1k,,,
https://github.com/mengzhuo/cookiestxt,cookiestxt,cookiestxt - provides a parser of cookies.txt file format.,16,,,
https://github.com/shaj13/go-guardian,go-guardian,"go-guardian - Go-Guardian is a golang library that provides a simple, clean, and idiomatic way to create powerful modern API and web authentication that supports LDAP, Basic, Bearer token, and Certificate based authentication.",531,,,
https://github.com/go-jose/go-jose,go-jose,"go-jose - Fairly complete implementation of the JOSE working group's JSON Web Token, JSON Web Signatures, and JSON Web Encryption specs.",283,,,
https://github.com/dghubble/gologin,gologin,gologin - chainable handlers for login with OAuth1 and OAuth2 authentication providers.,1.8k,,,
https://github.com/mikespook/gorbac,gorbac,gorbac - provides a lightweight role-based access control (RBAC) implementation in Golang.,1.6k,,,
https://github.com/markbates/goth,goth,"goth - provides a simple, clean, and idiomatic way to use OAuth and OAuth2. Handles multiple providers out of the box.",5.2k,,,
https://github.com/abraithwaite/jeff,jeff,"jeff - Simple, flexible, secure, and idiomatic web session management with pluggable backends.",264,,,
https://github.com/pascaldekloe/jwt,jwt,jwt - Lightweight JSON Web Token (JWT) library.,351,,,
https://github.com/cristalhq/jwt,jwt,"jwt - Safe, simple, and fast JSON Web Tokens for Go.",648,,,
https://github.com/adam-hanna/jwt-auth,jwt-auth,jwt-auth - JWT middleware for Golang http servers with many configuration options.,233,,,
https://github.com/golang-jwt/jwt,jwt-go,jwt-go - A full featured implementation of JSON Web Tokens (JWT). This library supports the parsing and verification as well as the generation and signing of JWTs.,6.6k,,,
https://github.com/ory/keto,keto,"keto - Open Source (Go) implementation of ""Zanzibar: Google's Consistent, Global Authorization System"". Ships gRPC, REST APIs, newSQL, and an easy and granular permission language. Supports ACL, RBAC, and other access models.",4.7k,,,
https://github.com/tarent/loginsrv,loginsrv,"loginsrv - JWT login microservice with pluggable backends such as OAuth2 (Github), htpasswd, osiam.",1.9k,,,
https://github.com/golang/oauth2,oauth2,"oauth2 - Successor of goauth2. Generic OAuth 2.0 package that comes with JWT, Google APIs, Compute Engine, and App Engine support.",5.2k,,,
https://github.com/zitadel/oidc,oidc,oidc - Easy to use OpenID Connect client and server library written for Go and certified by the OpenID Foundation,1.2k,,,
https://github.com/openfga/openfga,openfga,"openfga - Implementation of fine-grained authorization based on the ""Zanzibar: Google's Consistent, Global Authorization System"" paper. Backed by CNCF.",2.5k,,,
https://github.com/openshift/osin,osin,osin - Golang OAuth2 server library.,1.9k,,,
https://github.com/grijul/otpgen,otpgen,otpgen - Library to generate TOTP/HOTP codes.,134,,,
https://github.com/jltorresm/otpgo,otpgo,otpgo - Time-Based One-Time Password (TOTP) and HMAC-Based One-Time Password (HOTP) library for Go.,68,,,
https://github.com/o1egl/paseto,paseto,paseto - Golang implementation of Platform-Agnostic Security Tokens (PASETO).,827,,,
https://github.com/xyproto/permissions2,permissions2,"permissions2 - Library for keeping track of users, login states, and permissions. Uses secure cookies and bcrypt.",507,,,
https://github.com/SonicRoshan/scope,scope,scope - Easily Manage OAuth2 Scopes In Go.,37,,,
https://github.com/alexedwards/scs,scs,scs - Session Manager for HTTP servers.,2k,,,
https://github.com/chmike/securecookie,securecookie,securecookie - Efficient secure cookie encoding/decoding.,77,,,
https://github.com/icza/session,session,session - Go session management for web servers (including support for Google App Engine - GAE).,115,,,
https://github.com/adam-hanna/sessions,sessions,"sessions - Dead simple, highly performant, highly customizable sessions service for go http servers.",77,,,
https://github.com/swithek/sessionup,sessionup,"sessionup - Simple, yet effective HTTP session management and identification package.",124,,,
https://github.com/brianvoe/sjwt,sjwt,sjwt - Simple jwt generator and parser.,118,,,
https://github.com/cometbft/cometbft,cometbft,"cometbft - A distributed, Byzantine fault-tolerant, deterministic state machine replication engine. It is a fork of Tendermint Core and implements the Tendermint consensus algorithm.",570,,,
https://github.com/cosmos/cosmos-sdk,cosmos-sdk,cosmos-sdk - A Framework for Building Public Blockchains in the Cosmos Ecosystem.,6.1k,,,
https://github.com/ethereum/go-ethereum,go-ethereum,go-ethereum - Official Go implementation of the Ethereum protocol.,46.6k,,,
